Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8032f0b700 OUTLOOK.EXE            2944    620      0 --------      5      0 2019-06-24 20:50:44 UTC+0000   2019-06-25 15:20:52 UTC+0000  
0xfffffa80334e0b10 TaniumClient.e          452   1748      0 --------      0      0 2019-06-25 00:17:20 UTC+0000   2019-06-25 02:48:08 UTC+0000  
0xfffffa8031116200 TaniumClient.e         4576   1748      0 --------      0      0 2019-06-25 00:17:53 UTC+0000   2019-06-25 02:48:05 UTC+0000  
0xfffffa803146f480 TaniumDetectEn         2264   5076      0 --------      0      0 2019-06-25 01:37:55 UTC+0000   2019-06-25 01:47:55 UTC+0000  
0xfffffa80310bc060 esensor.exe            3604    500     47      727      0      0 2019-06-25 01:45:48 UTC+0000                                 
0xfffffa80314e0b10 cmd.exe                2188   2940      1       34      0      1 2019-06-25 02:00:28 UTC+0000                                 
0xfffffa803123c060 conhost.exe            5084    344      2       34      0      0 2019-06-25 02:00:28 UTC+0000                                 
0xfffffa80310d3740 cscript.exe            4420   2188      5      146      0      1 2019-06-25 02:00:28 UTC+0000                                 
0xfffffa8033978a80 TaniumEndpoint         1384   3488     15       85      0      0 2019-06-25 02:29:18 UTC+0000                                 
0xfffffa8033ed9060 conhost.exe            3872    344      2       32      0      0 2019-06-25 02:29:18 UTC+0000                                 
0xfffffa8032c01730 svchost.exe            4280    500      7      118      0      0 2019-06-25 14:06:28 UTC+0000                                 
0xfffffa80339ab060 TaniumClient.e         3840   3404      0 --------      0      0 2019-06-25 14:34:49 UTC+0000   2019-06-25 15:31:09 UTC+0000  
0xfffffa8033e0a060 TaniumDetectEn         1888   2564      0 --------      0      0 2019-06-25 15:11:48 UTC+0000   2019-06-25 15:21:49 UTC+0000  
0xfffffa8031622b10 winlogon.exe           1740   4044      0 --------      6      0 2019-06-25 15:20:53 UTC+0000   2019-06-25 20:14:52 UTC+0000  
0xfffffa803161e200 LogonUI.exe            3996   1740      0 --------      6      0 2019-06-25 15:20:54 UTC+0000   2019-06-25 15:21:02 UTC+0000  
0xfffffa803421ab10 dllhost.exe            4024    620      0 --------      0      0 2019-06-25 15:20:54 UTC+0000   2019-06-25 15:21:00 UTC+0000  
0xfffffa803174e060 cmd.exe                2536   4364      0 --------      6      0 2019-06-25 15:20:59 UTC+0000   2019-06-25 20:13:22 UTC+0000  
0xfffffa8032bac060 java.exe               4764   2536      0 --------      6      0 2019-06-25 15:21:10 UTC+0000   2019-06-25 20:13:22 UTC+0000  
0xfffffa803236bb10 chromedriver_w         4916   4764      0 --------      6      0 2019-06-25 15:22:31 UTC+0000   2019-06-25 20:13:22 UTC+0000  
0xfffffa80312e6060 TaniumClient.e         5640   5876      0 --------      0      0 2019-06-25 19:32:32 UTC+0000   2019-06-25 20:30:38 UTC+0000  
0xfffffa8034c16060 TaniumDetectEn         2252   2064      0 --------      0      0 2019-06-25 20:05:13 UTC+0000   2019-06-25 20:15:13 UTC+0000  
0xfffffa80344a2060 cmd.exe                4616   4364      0 --------      6      0 2019-06-25 20:13:07 UTC+0000   2019-06-25 20:13:12 UTC+0000  
0xfffffa8032bf8a60 chrome.exe              388   2344      0 --------      6      0 2019-06-25 20:14:46 UTC+0000   2019-06-25 20:14:46 UTC+0000  
0xfffffa8032728b10 winlogon.exe           5680   5196      0 --------      7      0 2019-06-25 20:14:53 UTC+0000   2019-06-25 20:15:58 UTC+0000  
0xfffffa80321deae0 LogonUI.exe            5916   5680      0 --------      7      0 2019-06-25 20:14:53 UTC+0000   2019-06-25 20:14:59 UTC+0000  
0xfffffa803323f8d0 dllhost.exe            1776    620      0 --------      0      0 2019-06-25 20:14:54 UTC+0000   2019-06-25 20:14:59 UTC+0000  
0xfffffa8032d4d710 cmd.exe                4124   6004      0 --------      7      0 2019-06-25 20:14:57 UTC+0000   2019-06-25 20:15:28 UTC+0000  
0xfffffa8031849b10 java.exe               2780   4124      0 --------      7      0 2019-06-25 20:15:08 UTC+0000   2019-06-25 20:15:28 UTC+0000  
0xfffffa80317f2b10 chromedriver_w         5112   2780      0 --------      7      0 2019-06-25 20:15:22 UTC+0000   2019-06-25 20:15:28 UTC+0000  
0xfffffa80314ab060 csrss.exe              3084   4956     11      375      8      0 2019-06-25 20:15:58 UTC+0000                                 
0xfffffa80365a1b10 winlogon.exe           3368   4956      3      122      8      0 2019-06-25 20:15:58 UTC+0000                                 
0xfffffa8032197060 taskhost.exe           5416    500     13      255      8      0 2019-06-25 20:15:59 UTC+0000                                 
0xfffffa8032b66900 dwm.exe                5168    844      5      158      8      0 2019-06-25 20:16:01 UTC+0000                                 
0xfffffa80317e8060 explorer.exe           5660   4632     22      652      8      0 2019-06-25 20:16:01 UTC+0000                                 
0xfffffa8031130620 cmd.exe                4264   5660      1       28      8      0 2019-06-25 20:16:01 UTC+0000                                 
0xfffffa80323b16c0 vmtoolsd.exe           2852   5660      7      148      8      0 2019-06-25 20:16:01 UTC+0000                                 
0xfffffa80333a0060 conhost.exe            5896   3084      2       59      8      0 2019-06-25 20:16:01 UTC+0000                                 
0xfffffa8032993200 java.exe               4216   4264     35      515      8      1 2019-06-25 20:16:12 UTC+0000                                 
0xfffffa8032c06b10 WINWORD.EXE            1400    620     11      445      8      1 2019-06-25 20:16:25 UTC+0000                                 
0xfffffa8032b524c0 splwow64.exe           5696   1400      8       84      8      0 2019-06-25 20:16:25 UTC+0000                                 
0xfffffa8032854060 chromedriver_w         2096   4216      6      100      8      1 2019-06-25 20:16:34 UTC+0000                                 
0xfffffa80317682d0 chrome.exe             2908   2096     27      696      8      1 2019-06-25 20:16:34 UTC+0000                                 
0xfffffa803301cb10 chrome.exe             5556   2908      5      183      8      1 2019-06-25 20:16:35 UTC+0000                                 
0xfffffa8032b99a30 chrome.exe             1840   2908      8      156      8      1 2019-06-25 20:16:35 UTC+0000                                 
0xfffffa8032db1060 OUTLOOK.EXE            4104    620     27     2069      8      1 2019-06-25 20:16:51 UTC+0000                                 
0xfffffa8034305910 POWERPNT.EXE           4464    620     11      402      8      1 2019-06-25 20:16:59 UTC+0000                                 
0xfffffa80315a7b10 EXCEL.EXE              4288    620     11      404      8      1 2019-06-25 20:17:07 UTC+0000                                 
0xfffffa8031311170 TaniumClient.e         4376    500      7      176      0      1 2019-06-25 21:31:46 UTC+0000                                 
0xfffffa80316a8060 TaniumClient.e         5060   4376     17      476      0      1 2019-06-25 21:31:47 UTC+0000                                 
0xfffffa80340f1a80 TaniumClient.e         3992   4376      8      198      0      1 2019-06-25 21:31:47 UTC+0000                                 
0xfffffa80338d3700 conhost.exe            4416    344      2       32      0      0 2019-06-25 21:31:47 UTC+0000                                 
0xfffffa8034156620 conhost.exe            2940    344      2       34      0      0 2019-06-25 21:31:47 UTC+0000                                 
0xfffffa80339b94c0 TaniumClient.e         6040   5060      7      509      0      1 2019-06-25 21:32:00 UTC+0000                                 
0xfffffa8035893b10 cmd.exe                3556   6040      0 --------      0      0 2019-06-25 21:38:00 UTC+0000   2019-06-25 21:38:00 UTC+0000  
0xfffffa8033e52b10 NETSTAT.EXE            5016   3556      0 --------      0      0 2019-06-25 21:38:00 UTC+0000   2019-06-25 21:38:00 UTC+0000  
0xfffffa80341a0b10 cmd.exe                3700   6040      0 --------      0      0 2019-06-25 21:47:11 UTC+0000   2019-06-25 21:47:11 UTC+0000  
0xfffffa803433e700 NETSTAT.EXE            4204   3700      0 --------      0      0 2019-06-25 21:47:11 UTC+0000   2019-06-25 21:47:11 UTC+0000  
0xfffffa803150c7a0 chrome.exe             5432   2908      8      189      8      1 2019-06-25 21:51:27 UTC+0000                                 
0xfffffa80352cf550 cmd.exe                5820   6040      0 --------      0      0 2019-06-25 21:56:17 UTC+0000   2019-06-25 21:56:17 UTC+0000  
0xfffffa80313ba430 NETSTAT.EXE            5804   5820      0 --------      0      0 2019-06-25 21:56:17 UTC+0000   2019-06-25 21:56:17 UTC+0000  
