Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13f144140        TCPv6    :::135                         :::0                 LISTENING        708      svchost.exe    
0x13f147230        TCPv4    0.0.0.0:135                    0.0.0.0:0            LISTENING        708      svchost.exe    
0x13f14f660        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        388      wininit.exe    
0x13f152c70        TCPv4    0.0.0.0:49152                  0.0.0.0:0            LISTENING        388      wininit.exe    
0x13f152c70        TCPv6    :::49152                       :::0                 LISTENING        388      wininit.exe    
0x13f17a2f0        TCPv4    0.0.0.0:49153                  0.0.0.0:0            LISTENING        804      svchost.exe    
0x13f17a2f0        TCPv6    :::49153                       :::0                 LISTENING        804      svchost.exe    
0x13f17dce0        TCPv4    0.0.0.0:49153                  0.0.0.0:0            LISTENING        804      svchost.exe    
0x13f266a90        TCPv4    0.0.0.0:49155                  0.0.0.0:0            LISTENING        844      svchost.exe    
0x13f266a90        TCPv6    :::49155                       :::0                 LISTENING        844      svchost.exe    
0x13f594850        TCPv4    172.116.4.55:139               0.0.0.0:0            LISTENING        4        System         
0x13f739220        UDPv4    172.116.4.55:137               *:*                                   4        System         2019-06-24 07:54:33 UTC+0000
0x13f8aec30        UDPv4    172.116.4.55:138               *:*                                   4        System         2019-06-24 07:54:33 UTC+0000
