Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffc08ed75d1580 svchost.exe            4048    584      8        0      0      0 2019-08-21 23:13:03 UTC+0000                                 
0xffffc08ed7637580 svchost.exe            4140    584      3        0      0      0 2019-08-21 23:13:03 UTC+0000                                 
0xffffc08ed774a580 ctfmon.exe             4376   4140      8        0      1      0 2019-08-21 23:13:04 UTC+0000                                 
0xffffc08ed77a7080 dllhost.exe            4424    584     12        0      0      0 2019-08-21 23:13:05 UTC+0000                                 
0xffffc08ed773d580 userinit.exe           4732    560      0 --------      1      0 2019-08-21 23:13:09 UTC+0000   2019-08-21 23:13:33 UTC+0000  
0xffffc08ed772f580 explorer.exe           4772   4732     58        0      1      0 2019-08-21 23:13:09 UTC+0000                                 
0xffffc08ed7731580 svchost.exe            4960    584     13        0      0      0 2019-08-21 23:13:10 UTC+0000                                 
0xffffc08ed78a7080 ShellExperienc         3980    816     27        0      1      0 2019-08-21 23:13:13 UTC+0000                                 
0xffffc08ed4ed8580 msdtc.exe              4788    584     11        0      0      0 2019-08-21 23:13:13 UTC+0000                                 
0xffffc08ed79fd080 SearchUI.exe           5188    816     47        0      1      0 2019-08-21 23:13:14 UTC+0000                                 
0xffffc08ed7392580 RuntimeBroker.         5288    816      7        0      1      0 2019-08-21 23:13:14 UTC+0000                                 
0xffffc08ed793a580 RuntimeBroker.         5432    816      6        0      1      0 2019-08-21 23:13:15 UTC+0000                                 
0xffffc08ed7934580 SearchIndexer.         5668    584     18        0      0      0 2019-08-21 23:13:15 UTC+0000                                 
0xffffc08ed7c24580 svchost.exe            5712    584     16        0      0      0 2019-08-21 23:13:16 UTC+0000                                 
0xffffc08ed7cf9580 svchost.exe            5984    584      5        0      0      0 2019-08-21 23:13:18 UTC+0000                                 
0xffffc08ed7da2080 SkypeHost.exe          4872    816      9        0      1      0 2019-08-21 23:13:21 UTC+0000                                 
0xffffc08ed79bf080 GoogleCrashHan         6384   3916      4        0      0      1 2019-08-21 23:13:24 UTC+0000                                 
0xffffc08ed7e73580 GoogleCrashHan         6400   3916      4        0      0      0 2019-08-21 23:13:24 UTC+0000                                 
0xffffc08ed7e5f580 RuntimeBroker.         6676    816      2        0      1      0 2019-08-21 23:13:25 UTC+0000                                 
0xffffc08ed7b56400 svchost.exe            6704    584      4        0      0      0 2019-08-21 23:13:25 UTC+0000                                 
0xffffc08ed7f04580 vmtoolsd.exe           6784   4772      8        0      1      0 2019-08-21 23:13:25 UTC+0000                                 
0xffffc08ed643d580 acrotray.exe           6988   6948      3        0      1      1 2019-08-21 23:13:27 UTC+0000                                 
0xffffc08ed6c76580 svchost.exe            6168    584      2        0      1      0 2019-08-21 23:15:02 UTC+0000                                 
0xffffc08ed7dfb580 svchost.exe             740    584     13        0      0      0 2019-08-21 23:15:03 UTC+0000                                 
0xffffc08ed7347580 svchost.exe            5168    584      7        0      0      0 2019-08-21 23:15:04 UTC+0000                                 
0xffffc08ed7f06580 ApplicationFra         1364    816      7        0      1      0 2019-08-21 23:17:45 UTC+0000                                 
0xffffc08ed5a7e580 WinStore.App.e         2940    816     24        0      1      0 2019-08-21 23:17:45 UTC+0000                                 
0xffffc08ed7dd7580 RuntimeBroker.         3188    816      5        0      1      0 2019-08-21 23:17:45 UTC+0000                                 
0xffffc08ed5ca0080 coredpussvr.ex          340    816      0 --------      1      0 2019-08-21 23:17:45 UTC+0000   2019-08-21 23:17:56 UTC+0000  
0xffffc08ed809f080 SystemSettings         6656    816     28        0      1      0 2019-08-21 23:17:56 UTC+0000                                 
0xffffc08ed7743580 RuntimeBroker.         6500    816      7        0      1      0 2019-08-21 23:17:56 UTC+0000                                 
0xffffc08ed7eec580 backgroundTask         6472    816      0 --------      1      0 2019-08-21 23:17:56 UTC+0000   2019-08-21 23:19:03 UTC+0000  
0xffffc08ed6f8e580 svchost.exe            7088    584      5        0      0      0 2019-08-21 23:17:56 UTC+0000                                 
0xffffc08ed7b3e080 svchost.exe            6512    584      5        0      0      0 2019-08-21 23:23:04 UTC+0000                                 
0xffffc08ed55c4580 TrustedInstall         2648    584      6        0      0      0 2019-08-21 23:23:24 UTC+0000                                 
0xffffc08ed52d8580 TiWorker.exe           7092    816      5        0      0      0 2019-08-21 23:23:30 UTC+0000                                 
0xffffc08ed52d6580 NisSrv.exe             4440    584      5        0      0      0 2019-08-21 23:23:30 UTC+0000                                 
0xffffc08ed6224080 svchost.exe            6560    584      6        0      0      0 2019-08-21 23:24:03 UTC+0000                                 
0xffffc08ed5f98580 dllhost.exe            1088    816      7        0      1      0 2019-08-21 23:36:06 UTC+0000                                 
0xffffc08ed84fb580 smartscreen.ex         2972    816      7        0      1      0 2019-08-21 23:36:08 UTC+0000                                 
0xffffc08ed3ce5580 svchost.exe            6324    584      3        0      0      0 2019-08-21 23:37:10 UTC+0000                                 
0xffffc08ed3d21340 audiodg.exe            3004   1704      7        0      0      0 2019-08-21 23:37:10 UTC+0000                                 
0xffffc08ed85ef080 svchost.exe            4576    584     10        0      0      0 2019-08-21 23:37:11 UTC+0000                                 
0xffffc08ed85aa580 svchost.exe            5540    584      5        0      0      0 2019-08-21 23:37:16 UTC+0000                                 
0xffffc08ed858d580 SearchProtocol         2812   5668      7        0      0      0 2019-08-21 23:38:24 UTC+0000                                 
0xffffc08ed852e580 SearchFilterHo         1368   5668      4        0      0      0 2019-08-21 23:38:34 UTC+0000                                 
0xffffc08ed85f5080 powershell.exe         1408   4772     12        0      1      0 2019-08-21 23:39:06 UTC+0000                                 
0xffffc08ed854d580 conhost.exe            1180   1408      5        0      1      0 2019-08-21 23:39:06 UTC+0000                                 
0xffffc08ed8386080 backgroundTask          420    816      8        0      1      0 2019-08-21 23:39:10 UTC+0000                                 
0xffffc08ed82a4080 backgroundTask         5368    816      0        0 ------      0 2019-08-21 23:39:10 UTC+0000   2019-08-21 23:40:40 UTC+0000  
0xffffc08ed47c4580 svchost.exe            5420    584      5        0      0      0 2019-08-21 23:40:01 UTC+0000                                 
0xffffc08ed3643580 ?                  16...0 18...8 20...1 -------- ------      1                                                              
