Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8032b19760 PING.EXE               5748   5292      0 --------      4      0 2019-06-25 20:07:54 UTC+0000   2019-06-25 20:07:56 UTC+0000  
0xfffffa80336a2060 mmc.exe                5488   5364     20      450      4      0 2019-06-25 20:29:48 UTC+0000                                 
0xfffffa8033112530 wsmprovhost.ex         5652    624     13      397      0      0 2019-06-25 21:57:44 UTC+0000                                 
0xfffffa8032147190 DumpIt-64.exe          2220   5652      4      104      0      0 2019-06-25 22:01:06 UTC+0000                                 
0xfffffa8033f70a30 conhost.exe            5096    352      2       38      0      0 2019-06-25 22:01:06 UTC+0000                                 
0xfffffa803339bab0 chrome.exe             1948   3524      0 -------- ------      0 2019-06-25 22:02:30 UTC+0000   2019-06-25 22:03:11 UTC+0000  
0xfffffa803345da00 MpCmdRun.exe           6128   2488      0 -------- ------      0 2019-06-25 22:02:58 UTC+0000   2019-06-25 22:02:58 UTC+0000  
0xfffffa8031789ac0 MpCmdRun.exe           6080   6128      6      126 ------      0 2019-06-25 22:02:58 UTC+0000                                 
0xfffffa8035e4a060 conhost.exe            4356    352      0 --------      0      0 2019-06-25 22:03:00 UTC+0000   2019-06-25 22:03:00 UTC+0000  
0xfffffa803436ba50 chrome.exe             3088   3524      9  6619248 ------      1 2019-06-25 22:03:11 UTC+0000                                 
