Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13e3fe580        TCPv6    -:0                            2897:eb30:80fa:ffff:2897:eb30:80fa:ffff:0 CLOSED           1964     winlogbeat.exe 
0x13e498cf0        TCPv4    172.115.1.69:57609             172.115.4.7:17472    CLOSED           6604     TaniumClient.e 
0x13e971bd0        TCPv4    127.0.0.1:55132                127.0.0.1:49998      CLOSED           7120     conhost.exe    
0x13eab35b0        TCPv4    172.115.1.69:54008             172.115.4.254:8080   ESTABLISHED      2752     esensor.exe    
0x13eb03cf0        TCPv4    -:0                            40.103.162.50:0      CLOSED           3        @?e1????@?e1???? 
0x13ec151e0        TCPv6    -:0                            6860:5431:80fa:ffff:6860:5431:80fa:ffff:0 CLOSED           7120     conhost.exe    
0x13ede56e0        TCPv4    10.10.1.69:56400               10.10.2.236:3128     CLOSED           7120     conhost.exe    
0x13efd4990        TCPv4    -:0                            40.103.162.50:0      CLOSED           1364     java.exe       
0x13f18c010        TCPv6    -:0                            2897:eb30:80fa:ffff:2897:eb30:80fa:ffff:0 CLOSED           1964     winlogbeat.exe 
0x13f47d9d0        TCPv6    -:0                            2867:a232:80fa:ffff:2867:a232:80fa:ffff:0 CLOSED           1364     java.exe       
0x13f60bb50        UDPv4    172.115.1.69:51722             *:*                                   2816     svchost.exe    2019-08-28 12:51:10 UTC+0000
0x13f637650        UDPv6    fe80::7520:4820:8143:d8be:1900 *:*                                   2816     svchost.exe    2019-08-28 12:51:10 UTC+0000
0x13f72ea40        UDPv6    fe80::7520:4820:8143:d8be:51719 *:*                                   2816     svchost.exe    2019-08-28 12:51:10 UTC+0000
0x13f8ceaf0        UDPv6    fe80::7520:4820:8143:d8be:546  *:*                                   768      svchost.exe    2019-09-03 18:24:36 UTC+0000
0x13f8f4ec0        UDPv6    ::1:1900                       *:*                                   2816     svchost.exe    2019-08-28 12:51:10 UTC+0000
0x13f9247d0        UDPv6    fe80::2949:242:a2a1:841:51718  *:*                                   2816     svchost.exe    2019-08-28 12:51:10 UTC+0000
0x13f9507a0        UDPv4    127.0.0.1:51723                *:*                                   2816     svchost.exe    2019-08-28 12:51:10 UTC+0000
0x13f9bfa60        UDPv6    fe80::2949:242:a2a1:841:1900   *:*                                   2816     svchost.exe    2019-08-28 12:51:10 UTC+0000
0x13f9c2010        UDPv4    172.115.1.69:1900              *:*                                   2816     svchost.exe    2019-08-28 12:51:10 UTC+0000
0x13f9d8010        UDPv4    127.0.0.1:1900                 *:*                                   2816     svchost.exe    2019-08-28 12:51:10 UTC+0000
0x13faa72b0        UDPv4    127.0.0.1:51067                *:*                                   4260     OUTLOOK.EXE    2019-08-29 14:53:56 UTC+0000
0x13fad67d0        UDPv4    10.10.1.69:1900                *:*                                   2816     svchost.exe    2019-08-28 12:51:10 UTC+0000
0x13fbc2dc0        UDPv6    ::1:51720                      *:*                                   2816     svchost.exe    2019-08-28 12:51:10 UTC+0000
0x13fc69bb0        UDPv4    0.0.0.0:0                      *:*                                   2452     svchost.exe    2019-08-28 12:22:06 UTC+0000
0x13fc69bb0        UDPv6    :::0                           *:*                                   2452     svchost.exe    2019-08-28 12:22:06 UTC+0000
0x13fc6e380        UDPv4    0.0.0.0:0                      *:*                                   2452     svchost.exe    2019-08-28 12:22:06 UTC+0000
0x13f684500        TCPv4    172.115.1.69:17472             0.0.0.0:0            LISTENING        6604     TaniumClient.e 
0x13f6c2940        TCPv4    127.0.0.1:49361                127.0.0.1:13546      CLOSED           7120     conhost.exe    
0x13f8251b0        TCPv4    172.115.1.69:17472             172.115.1.82:50311   ESTABLISHED      6604     TaniumClient.e 
0x13f86c780        TCPv4    172.115.1.69:56793             172.115.4.254:8080   CLOSE_WAIT       2752     esensor.exe    
0x13f905930        TCPv6    fe80::2949:242:a2a1:841:445    fe80::2949:242:a2a1:841:57632 ESTABLISHED      4        System         
0x13f91e590        TCPv4    -:0                            40.103.162.50:0      CLOSED           3        @?e1????@?e1???? 
0x13fa8eba0        TCPv4    10.10.1.69:51684               10.10.200.207:5672   ESTABLISHED      1364     java.exe       
0x13fc80790        TCPv4    172.115.1.69:56091             172.115.1.72:17472   ESTABLISHED      6604     TaniumClient.e 
0x13fcdc730        TCPv4    -:0                            8.136.70.53:0        CLOSED           1364     java.exe       
0x13fd44ad0        TCPv4    127.0.0.1:49655                127.0.0.1:49999      CLOSED           1364     java.exe       
0x13fdc39c0        TCPv4    172.115.1.69:51587             172.115.4.254:5045   ESTABLISHED      1964     winlogbeat.exe 
