Offset(V)          DueTime                  Period(ms) Signaled   Routine            Module
------------------ ------------------------ ---------- ---------- ------------------ ------
0xfffff800030ca480 0x00000180:0xa1eafb0e             0 -          0xfffff80002e70f60 ntoskrnl.exe
0xfffff800030ca6e0 0x00000180:0xa0877b5c             0 -          0xfffff80002ea6390 ntoskrnl.exe
0xfffffa8031c72320 0x00000184:0xcdd86e3c          1000 Yes        0xfffff8800107c010 storport.sys
0xfffff880014e3920 0x0000019c:0xd4463a43             0 -          0xfffff880014a9880 cng.sys
0xfffffa80324586d0 0x00000185:0x167da393        300000 Yes        0xfffff80002fc96a0 ntoskrnl.exe
0xfffff88002663680 0x00000184:0xbe602708         30000 Yes        0xfffff88002630540 HTTP.sys
0xfffff8800266b9c0 0x00000184:0xbe602708         60000 Yes        0xfffff88002630700 HTTP.sys
0xfffff88002662580 0x00000184:0xbe602708         60000 Yes        0xfffff88002630680 HTTP.sys
0xfffffa8030ee0db0 0x00000184:0xd07a8040             0 -          0xfffff880014012b0 NETIO.SYS
0xfffff88003a50760 0x00000184:0xba6cbfc0             0 -          0xfffff88003a34010 afd.sys
0xfffffa8031c786e0 0x00000184:0xce22c6bf             0 -          0xfffff8800107c1c0 storport.sys
0xfffff8800177c670 0x00000180:0xa1faa640             0 -          0xfffff880014012b0 NETIO.SYS
0xfffff880017868f0 0x00000180:0xa1faa640             0 -          0xfffff880014012b0 NETIO.SYS
0xfffff8800177b5b0 0x00000180:0xa1faa640             0 -          0xfffff880014012b0 NETIO.SYS
0xfffff8800177a4f0 0x00000180:0xa1faa640             0 -          0xfffff880014012b0 NETIO.SYS
0xfffffa8030e3f460 0x00000184:0xd023aa15           500 Yes        0xfffff88000ddc84c ataport.SYS
0xfffffa8031c786e0 0x00000184:0xce22c6bf             0 -          0xfffff8800107c1c0 storport.sys
0xfffffa80324586d0 0x00000185:0x167da393        300000 Yes        0xfffff80002fc96a0 ntoskrnl.exe
0xfffff80003074fe0 0x00000180:0xa337d1fd         15000 Yes        0xfffff80002e78ee0 ntoskrnl.exe
0xfffffa8031bd61f0 0x00000184:0xebe654d1         60000 Yes        0xfffff88001592b60 ndis.sys
0xfffffa8031e8b278 0x00000184:0xcdc62f83             0 -          0xfffff88001591160 ndis.sys
0xfffffa8031e8f278 0x00000184:0xcdc62f83             0 -          0xfffff88001591160 ndis.sys
0xfffffa8031e92278 0x00000184:0xcdc62f83             0 -          0xfffff88001591160 ndis.sys
0xfffffa8031d6e278 0x00000184:0xcdc62f83             0 -          0xfffff88001591160 ndis.sys
0xfffffa8031d70278 0x00000184:0xcdc62f83             0 -          0xfffff88001591160 ndis.sys
0xfffffa8031d6c278 0x00000184:0xcdc62f83             0 -          0xfffff88001591160 ndis.sys
0xfffff88003139af8 0x00000183:0x02b8a980           200 Yes        0xfffff80002ec6540 ntoskrnl.exe
0xfffff8000306a900 0x00000180:0xa2df8800          5000 Yes        0xfffff80002eb5290 ntoskrnl.exe
0xfffff800030c9880 0x00000180:0xa07d2e00          1000 Yes        0xfffff80002ece954 ntoskrnl.exe
0xfffffa8031a89f08 0x00000184:0xce647180          1000 Yes        0xfffff88000e58d84 Wdf01000.sys
0xfffff8800266bba0 0x00000184:0xbb77975d             0 -          0xfffff880026252b0 HTTP.sys
0xfffff800030ca480 0x00000180:0xa1eafb0e             0 -          0xfffff80002e70f60 ntoskrnl.exe
