Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x1d85cf0          TCPv4    127.0.0.1:49729                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1d93cf0          TCPv4    127.0.0.1:65340                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1dcbcf0          TCPv4    127.0.0.1:64966                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x1df2cf0          TCPv4    127.0.0.1:49998                127.0.0.1:63225      ESTABLISHED      1496     java.exe       
0x2011cf0          TCPv4    127.0.0.1:49998                127.0.0.1:60117      ESTABLISHED      1496     java.exe       
0x2051770          TCPv4    127.0.0.1:49998                127.0.0.1:49661      ESTABLISHED      1496     java.exe       
0x2051cf0          TCPv4    127.0.0.1:49161                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x20902e0          TCPv4    127.0.0.1:62709                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x20b67d0          TCPv4    127.0.0.1:56551                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x20f2010          TCPv4    127.0.0.1:57714                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x21b92e0          TCPv4    127.0.0.1:49998                127.0.0.1:62525      ESTABLISHED      1496     java.exe       
0x220d940          TCPv4    127.0.0.1:58359                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x223c570          TCPv4    127.0.0.1:51651                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x224d1c0          TCPv4    127.0.0.1:59302                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x22afcf0          TCPv4    127.0.0.1:49998                127.0.0.1:52520      ESTABLISHED      1496     java.exe       
0x22b1a90          TCPv4    127.0.0.1:63883                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x22f0cf0          TCPv4    127.0.0.1:49998                127.0.0.1:53571      ESTABLISHED      1496     java.exe       
0x2348cf0          TCPv4    127.0.0.1:61215                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2351010          TCPv4    127.0.0.1:56479                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x23bfcf0          TCPv4    127.0.0.1:49998                127.0.0.1:57792      ESTABLISHED      1496     java.exe       
0x23d3010          TCPv4    127.0.0.1:55000                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x23d37e0          TCPv4    127.0.0.1:54908                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x23f0930          TCPv4    127.0.0.1:57583                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x23f0cf0          TCPv4    127.0.0.1:60929                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2420cf0          TCPv4    127.0.0.1:64377                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2431cf0          TCPv4    127.0.0.1:61587                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2470a50          TCPv4    127.0.0.1:53306                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x250d010          TCPv4    127.0.0.1:59542                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x25506f0          TCPv4    127.0.0.1:58040                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x25eba50          TCPv4    127.0.0.1:49998                127.0.0.1:53556      ESTABLISHED      1496     java.exe       
0x2650580          TCPv4    127.0.0.1:55799                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x26b0590          TCPv4    127.0.0.1:51589                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x270b010          TCPv4    127.0.0.1:49998                127.0.0.1:53174      ESTABLISHED      1496     java.exe       
0x272b480          TCPv4    127.0.0.1:49998                127.0.0.1:61514      ESTABLISHED      1496     java.exe       
0x2772cf0          TCPv4    127.0.0.1:52809                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x27a4930          TCPv4    127.0.0.1:49998                127.0.0.1:50171      ESTABLISHED      1496     java.exe       
0x2a02820          UDPv4    127.0.0.1:58599                *:*                                   2636     WmiPrvSE.exe   2019-08-28 15:00:50 UTC+0000
0x2806cf0          TCPv4    127.0.0.1:49998                127.0.0.1:63484      ESTABLISHED      1496     java.exe       
0x28f1cf0          TCPv4    127.0.0.1:49998                127.0.0.1:63639      ESTABLISHED      1496     java.exe       
0x29373a0          TCPv4    127.0.0.1:49998                127.0.0.1:59547      ESTABLISHED      1496     java.exe       
0x29d3010          TCPv4    127.0.0.1:55504                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x29d7cf0          TCPv4    127.0.0.1:51159                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2a01380          TCPv4    127.0.0.1:49998                127.0.0.1:63151      ESTABLISHED      1496     java.exe       
0x2a05c70          TCPv4    127.0.0.1:60364                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2a09530          TCPv4    127.0.0.1:56540                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f6dcf0          TCPv4    127.0.0.1:62574                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f712d0          TCPv4    127.0.0.1:49998                127.0.0.1:58000      ESTABLISHED      1496     java.exe       
0x2f71cf0          TCPv4    127.0.0.1:58297                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f78780          TCPv4    127.0.0.1:49998                127.0.0.1:64044      ESTABLISHED      1496     java.exe       
0x2f79010          TCPv4    127.0.0.1:61671                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f79cf0          TCPv4    127.0.0.1:49998                127.0.0.1:61858      ESTABLISHED      1496     java.exe       
0x2f7a6d0          TCPv4    127.0.0.1:63098                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f7fcf0          TCPv4    127.0.0.1:63268                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f80270          TCPv4    127.0.0.1:62576                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f827e0          TCPv4    127.0.0.1:62174                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f839b0          TCPv4    127.0.0.1:63698                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f86850          TCPv4    127.0.0.1:49998                127.0.0.1:61448      ESTABLISHED      1496     java.exe       
0x2f872d0          TCPv4    127.0.0.1:64395                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f87cf0          TCPv4    127.0.0.1:49998                127.0.0.1:64718      ESTABLISHED      1496     java.exe       
0x2f887c0          TCPv4    127.0.0.1:49998                127.0.0.1:62775      ESTABLISHED      1496     java.exe       
0x2f8a3f0          TCPv4    127.0.0.1:49998                127.0.0.1:57562      ESTABLISHED      1496     java.exe       
0x2f8a710          TCPv4    127.0.0.1:49998                127.0.0.1:57523      ESTABLISHED      1496     java.exe       
0x2f8b490          TCPv4    127.0.0.1:63927                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f8f010          TCPv4    127.0.0.1:63121                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f8f550          TCPv4    127.0.0.1:63206                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f92010          TCPv4    127.0.0.1:62688                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f926e0          TCPv4    127.0.0.1:49998                127.0.0.1:62660      ESTABLISHED      1496     java.exe       
