Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffa78175d73580 GoogleUpdate.e         5476   2368      5        0      0      1 2019-09-16 18:47:59 UTC+0000                                 
0xffffa78172b33580 svchost.exe            4220    664      6        0      0      0 2019-09-16 18:48:36 UTC+0000                                 
0xffffa78175dc6080 SearchIndexer.         5700    664     16        0      0      0 2019-09-16 18:48:50 UTC+0000                                 
0xffffa78175c14580 svchost.exe            4936    664      4        0      0      0 2019-09-16 18:54:37 UTC+0000                                 
0xffffa78172561080 svchost.exe            4988    664      2        0      0      0 2019-09-16 18:56:14 UTC+0000                                 
0xffffa78176f7b080 svchost.exe           21208    664      7        0      0      0 2019-09-16 20:04:03 UTC+0000                                 
0xffffa78177178400 wsmprovhost.ex         4644    808     12        0      0      0 2019-09-17 14:17:58 UTC+0000                                 
0xffffa78174456080 svchost.exe           17796    664      5        0      0      0 2019-09-17 18:43:11 UTC+0000                                 
0xffffa781773ef080 appidcertstore        14108   1812      7        0      0      0 2019-09-17 21:12:19 UTC+0000                                 
0xffffa78175a8e580 conhost.exe           16324  14108      5        0      0      0 2019-09-17 21:12:19 UTC+0000                                 
0xffffa78174257580 wsmprovhost.ex         3376    808     14        0      0      0 2019-09-17 21:12:55 UTC+0000                                 
0xffffa78176319580 afeMode              23...0 20...3 35...6 -------- ------      1 -                              2755-07-11 21:43:49 UTC+0000  
