Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xffffbb0854e7a080 svchost.exe            3644    680      2        0      0      0 2019-09-17 20:29:59 UTC+0000                                 
0xffffbb08556e5580 smss.exe               4892    340      0 --------      2      0 2019-09-17 20:31:04 UTC+0000   2019-09-17 20:31:05 UTC+0000  
0xffffbb08561e1580 csrss.exe              2524   4892     12        0      2      0 2019-09-17 20:31:04 UTC+0000                                 
0xffffbb0855ca4580 winlogon.exe           9704   4892      4        0      2      0 2019-09-17 20:31:05 UTC+0000                                 
0xffffbb0854c25580 dwm.exe                9900   9704     13        0      2      0 2019-09-17 20:31:05 UTC+0000                                 
0xffffbb0853fcc580 fontdrvhost.ex         9784   9704      5        0      2      0 2019-09-17 20:31:05 UTC+0000                                 
0xffffbb0855dce580 svchost.exe            1512    680      8        0      2      0 2019-09-17 20:31:32 UTC+0000                                 
0xffffbb0853e4a580 sihost.exe            10012   1668      9        0      2      0 2019-09-17 20:31:32 UTC+0000                                 
0xffffbb08571e8080 svchost.exe            5920    680      5        0      2      0 2019-09-17 20:31:32 UTC+0000                                 
0xffffbb085746e580 taskhostw.exe          2576   1536      8        0      2      0 2019-09-17 20:31:33 UTC+0000                                 
0xffffbb085746a580 NetBanner.exe          9368   1536      5        0      2      0 2019-09-17 20:31:33 UTC+0000                                 
0xffffbb0857489580 userinit.exe           1280   9704      0 --------      2      0 2019-09-17 20:31:34 UTC+0000   2019-09-17 20:31:51 UTC+0000  
0xffffbb0853ea2580 explorer.exe          10040   1280     69        0      2      0 2019-09-17 20:31:35 UTC+0000                                 
0xffffbb0853d51580 ctfmon.exe             2292   6632      7        0      2      0 2019-09-17 20:31:40 UTC+0000                                 
0xffffbb0853ce4580 RuntimeBroker.        11276    864      6        0      2      0 2019-09-17 20:32:18 UTC+0000                                 
0xffffbb0855cf8080 SearchUI.exe          11572    864     34        0      2      0 2019-09-17 20:32:24 UTC+0000                                 
0xffffbb08542ee580 RuntimeBroker.        11776    864      2        0      2      0 2019-09-17 20:32:27 UTC+0000                                 
0xffffbb0853f95580 taskhostw.exe          6636   1536     22        0      1      0 2019-09-17 20:32:59 UTC+0000                                 
0xffffbb08551c4080 MSASCuiL.exe          11248  10040      1        0      2      0 2019-09-17 20:32:59 UTC+0000                                 
0xffffbb0855ad7580 svchost.exe           12396    680     45        0      0      0 2019-09-17 20:33:02 UTC+0000                                 
0xffffbb0857b6d080 DVTrayApp.exe         12440  10040      4        0      2      0 2019-09-17 20:33:02 UTC+0000                                 
0xffffbb0855bcf080 ac.activclient        12720  10040     18        0      2      0 2019-09-17 20:33:04 UTC+0000                                 
0xffffbb0853c59080 powershell.exe        12924  11276     11        0      2      0 2019-09-17 20:33:05 UTC+0000                                 
0xffffbb085762e080 vmtoolsd.exe          12976  10040      5        0      2      0 2019-09-17 20:33:05 UTC+0000                                 
0xffffbb085779b080 conhost.exe           12988  12924      3        0      2      0 2019-09-17 20:33:05 UTC+0000                                 
0xffffbb08577b5080 acrotray.exe           6128   9520      1        0      2      1 2019-09-17 20:33:13 UTC+0000                                 
0xffffbb085752f080 acevents.exe           7524    864     17        0      2      0 2019-09-17 20:33:23 UTC+0000                                 
0xffffbb0853e32580 svchost.exe           13300    680      2        0      2      0 2019-09-17 20:33:33 UTC+0000                                 
0xffffbb08577b3580 ShellExperienc        12176    864     24        0      2      0 2019-09-17 20:34:06 UTC+0000                                 
0xffffbb085513e080 RuntimeBroker.         7652    864      4        0      2      0 2019-09-17 20:34:09 UTC+0000                                 
0xffffbb0854f09580 SystemSettings        12332    864     14        0      2      0 2019-09-17 20:34:39 UTC+0000                                 
0xffffbb08575ba580 ApplicationFra        10364    864      3        0      2      0 2019-09-17 20:34:39 UTC+0000                                 
0xffffbb08576aa580 svchost.exe           10584    680      4        0      0      0 2019-09-17 20:34:48 UTC+0000                                 
0xffffbb0857669580 taskhostw.exe          7520   1536     31        0      2      0 2019-09-17 20:36:34 UTC+0000                                 
0xffffbb0853d3a080 svchost.exe           11296    680      3        0      0      0 2019-09-17 20:36:40 UTC+0000                                 
0xffffbb0855bd1580 svchost.exe           10668    680      4        0      0      0 2019-09-17 20:41:48 UTC+0000                                 
0xffffbb0855b8a080 appidcertstore         6408   1536      1        0      0      0 2019-09-17 20:55:11 UTC+0000                                 
0xffffbb085755f580 conhost.exe            3580   6408      5        0      0      0 2019-09-17 20:55:11 UTC+0000                                 
0xffffbb08560f3080 appidcertstore         6336   1536      1        0      0      0 2019-09-17 21:03:50 UTC+0000                                 
0xffffbb0857b91580 conhost.exe            9668   6336      5        0      0      0 2019-09-17 21:03:50 UTC+0000                                 
0xffffbb08572e0080 appidcertstore        13096   1536      1        0      0      0 2019-09-17 21:04:53 UTC+0000                                 
0xffffbb0853d05580 conhost.exe           12068  13096      5        0      0      0 2019-09-17 21:04:53 UTC+0000                                 
0xffffbb08550f5080 cmd.exe               13196   1536      3        0 ------      0 2019-09-17 21:26:00 UTC+0000                                 
0xffffbb0855d7e080 conhost.exe            5536   6972      0 -------- ------      0 2019-09-17 21:23:00 UTC+0000   2019-09-17 21:23:01 UTC+0000  
0xffffbb0855a9b580 sc.exe                 3732   3676      0 -------- ------      0 2019-09-17 21:25:01 UTC+0000   2019-09-17 21:25:01 UTC+0000  
0xffffbb0853d76580 conhost.exe            9452   8732      0 -------- ------      0 2019-09-17 21:19:00 UTC+0000   2019-09-17 21:19:01 UTC+0000  
