Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x10ed4a2e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ed4a6d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ef10b80        UDPv4    172.115.4.4:40976              *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ef21010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ef213d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ef218a0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ef593b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10ef59cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f025440        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f028810        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f13a680        UDPv4    127.0.0.1:16496                *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f231010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f2316d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f3163b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f316cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f13a1f0        TCPv4    0.0.0.0:49160                  0.0.0.0:0            LISTENING        1412     spoolsv.exe    
0x10f13a1f0        TCPv6    :::49160                       :::0                 LISTENING        1412     spoolsv.exe    
0x10f2567d0        TCPv6    ::1:49168                      ::1:389              ESTABLISHED      1628     ismserv.exe    
0x10f41d580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f41dcf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f562970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f562ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f7272e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f727660        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f727ad0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f727ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f75e260        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f75e3b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f75ecf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f80b010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f80b5c0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10f986730        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10fa4c010        UDPv4    0.0.0.0:0                      *:*                                   360      svchost.exe    2019-09-16 19:36:14 UTC+0000
0x10fa4c010        UDPv6    :::0                           *:*                                   360      svchost.exe    2019-09-16 19:36:14 UTC+0000
0x10fc4c480        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10fc4c8f0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10fe1d010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10fe1d6d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10fe1dc20        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10fe4d010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
