Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x13f0ac260        TCPv4    172.115.1.60:50205             172.115.4.254:8080   ESTABLISHED      1512     esensor.exe    
0x13f2c17f0        TCPv4    -:51896                        -:49156              CLOSED           508      lsass.exe      
0x13f7ceec0        UDPv4    127.0.0.1:59031                *:*                                   4532     svchost.exe    2019-08-28 13:12:31 UTC+0000
0x13f826c00        UDPv4    10.10.1.60:59029               *:*                                   4532     svchost.exe    2019-08-28 13:12:31 UTC+0000
0x13f8412a0        UDPv6    fe80::ecda:f3db:5ec4:c148:59026 *:*                                   4532     svchost.exe    2019-08-28 13:12:31 UTC+0000
0x13fc28870        UDPv4    0.0.0.0:0                      *:*                                   864      svchost.exe    2019-08-28 12:17:39 UTC+0000
0x13fd2a5a0        UDPv4    172.115.1.60:59030             *:*                                   4532     svchost.exe    2019-08-28 13:12:31 UTC+0000
0x13fc176b0        TCPv4    0.0.0.0:64112                  0.0.0.0:0            LISTENING        624      svchost.exe    
0x13fc17910        TCPv4    0.0.0.0:64112                  0.0.0.0:0            LISTENING        624      svchost.exe    
0x13fc17910        TCPv6    :::64112                       :::0                 LISTENING        624      svchost.exe    
0x13f630ae0        TCPv6    -:0                            18fb:8532:80fa:ffff:18fb:8532:80fa:ffff:0 CLOSED           1788     java.exe       
0x13f65ac30        TCPv4    -:51894                        -:135                CLOSED           508      lsass.exe      
0x13f9029a0        TCPv4    127.0.0.1:55641                127.0.0.1:49999      CLOSED           1788     java.exe       
0x13f948890        TCPv4    172.115.1.60:55561             172.115.1.143:88     CLOSED           508      lsass.exe      
0x13f970cf0        TCPv4    -:0                            24.251.133.50:0      CLOSED           1788     java.exe       
0x13fbd2ba0        TCPv4    -:64060                        0.4.68.3:49156       CLOSED           508      lsass.exe      
